"Start","Start.date","Start.time","Actual.Mins","Comment","Type.of.maintenance"
2015-01-25 06:00:00,"25/01/2015","06:00",39480s (~658 minutes),"Debris Problems","Unplanned"
2015-01-25 16:58:00,"25/01/2015","16:58",3720s (~62 minutes),"cracked casing","Unplanned"
2015-01-25 18:00:00,"25/01/2015","18:00",7680s (~128 minutes),"motor brush problems","Unplanned"
2015-02-19 05:47:00,"19/02/2015","05:47",780s (~13 minutes),"CFP failure","Unplanned"
2015-02-19 06:00:00,"19/02/2015","06:00",43200s (~720 minutes),"CFP failure","Unplanned"
2015-02-19 18:00:00,"19/02/2015","18:00",43200s (~720 minutes),"CFP failure","Unplanned"
2015-02-20 06:00:00,"20/02/2015","06:00",43200s (~720 minutes),"CFP failure","Unplanned"
2015-02-20 18:00:00,"20/02/2015","18:00",43200s (~720 minutes),"CFP failure","Unplanned"
2015-02-21 06:00:00,"21/02/2015","06:00",37800s (~630 minutes),"CFP failure","Unplanned"
2015-03-07 22:43:00,"7/03/2015","22:43",1680s (~28 minutes),"hose kinks","Unplanned"
2015-04-27 22:58:00,"27/04/2015","22:58",25320s (~422 minutes),"connection & obstruction problems","Planned"
2015-04-27 23:52:00,"27/04/2015","23:52",22080s (~368 minutes),"connection & obstruction problems","Planned"
2015-04-28 02:07:00,"28/04/2015","02:07",13980s (~233 minutes),"connection & obstruction problems","Planned"
2015-04-28 06:00:00,"28/04/2015","06:00",43200s (~720 minutes),"connection & obstruction problems","Planned"
2015-04-28 18:00:00,"28/04/2015","18:00",30300s (~505 minutes),"connection & obstruction problems","Planned"
2015-04-29 02:17:00,"29/04/2015","02:17",13380s (~223 minutes),"connection & obstruction problems","Planned"
2015-07-28 01:41:00,"28/07/2015","01:41",2160s (~36 minutes),"belt slippage","Unplanned"
2015-08-02 06:01:00,"2/08/2015","06:01",5760s (~96 minutes),"broken shut-off valves","Unplanned"
2015-08-02 06:04:00,"2/08/2015","06:04",5880s (~98 minutes),"broken shut-off valves","Unplanned"
2015-08-02 06:56:00,"2/08/2015","06:56",5580s (~93 minutes),"broken shut-off valves","Unplanned"
2015-10-06 02:05:00,"6/10/2015","02:05",14100s (~235 minutes),"electrical faults","Unplanned"
2015-10-06 06:00:00,"6/10/2015","06:00",43200s (~720 minutes),"electrical faults","Unplanned"
2015-10-14 07:02:00,"14/10/2015","07:02",11520s (~192 minutes),"bearing failures","Unplanned"
2015-10-14 07:04:00,"14/10/2015","07:04",900s (~15 minutes),"bearing failures","Unplanned"
2015-10-14 07:05:00,"14/10/2015","07:05",10860s (~181 minutes),"bearing failures","Unplanned"
2015-10-14 07:40:00,"14/10/2015","07:40",1260s (~21 minutes),"bearing failures","Unplanned"
2015-10-14 07:56:00,"14/10/2015","07:56",4920s (~82 minutes),"bearing failures","Unplanned"
2015-10-14 10:05:00,"14/10/2015","10:05",28500s (~475 minutes),"bearing failures","Unplanned"
2015-10-14 10:06:00,"14/10/2015","10:06",10080s (~168 minutes),"bearing failures","Unplanned"
2015-10-14 10:14:00,"14/10/2015","10:14",27960s (~466 minutes),"bearing failures","Unplanned"
2015-10-16 10:28:00,"16/10/2015","10:28",7740s (~129 minutes),"cracked casing","Unplanned"
2015-10-16 12:38:00,"16/10/2015","12:38",19320s (~322 minutes),"cracked casing","Unplanned"
2015-10-16 18:00:00,"16/10/2015","18:00",43200s (~720 minutes),"cracked casing","Unplanned"
2015-10-17 06:00:00,"17/10/2015","06:00",21420s (~357 minutes),"cracked casing","Unplanned"
2015-10-31 04:25:00,"31/10/2015","04:25",1920s (~32 minutes),"electrical faults","Unplanned"
2016-01-15 12:39:00,"15/01/2016","12:39",19260s (~321 minutes),"low gland water flow","Unplanned"
2016-01-15 18:00:00,"15/01/2016","18:00",23820s (~397 minutes),"low gland water flow","Unplanned"
2016-01-16 00:39:00,"16/01/2016","00:39",19260s (~321 minutes),"low gland water flow","Unplanned"
2016-01-16 06:00:00,"16/01/2016","06:00",23820s (~397 minutes),"low gland water flow","Unplanned"
2016-01-16 12:09:00,"16/01/2016","12:09",1680s (~28 minutes),"low gland water flow","Unplanned"
2016-01-16 12:38:00,"16/01/2016","12:38",19320s (~322 minutes),"low gland water flow","Unplanned"
2016-01-16 18:00:00,"16/01/2016","18:00",23880s (~398 minutes),"low gland water flow","Unplanned"
2016-01-25 22:59:00,"25/01/2016","22:59",1920s (~32 minutes),"grinding problems","Unplanned"
